pricePerServing,weightPerServing,vegetarian,vegan,glutenFree,dairyFree,sustainable,lowFodmap,ketogenic,whole30,readyInMinutes,aggregateLikes,spoonacularScore,healthScore,percentProtein,percentFat,percentCarbs,calories,Fat/g,Saturated Fat/g,Carbohydrates/g,Sugar/g,Cholesterol/mg,Sodium/mg,Protein/g,Vitamin B3/mg,Selenium/µg,Phosphorus/mg,Iron/mg,Vitamin B2/mg,Calcium/mg,Vitamin B1/mg,Folate/µg,Potassium/mg,Copper/mg,Zinc/mg,Manganese/mg,Magnesium/mg,Vitamin B12/µg,Vitamin B5/mg,Vitamin B6/mg,Vitamin E/mg,Fiber/g,Vitamin A/IU,Vitamin D/µg,Vitamin K/µg,Vitamin C/mg
0.5844,88,0,False,1,True,0,True,0,False,4500,0,81.0,48.0,20.59,12.53,66.88,32.19,0.44,0.07,5.28,3.78,2.4,7.54,1.63,1.36,1.54,28.38,0.49,0.08,11.7,0.05,38.08,188.83,0.02,0.27,0.1,11.53,0.0,0.29,0.24,1.32,1.72,2569.42,0.0,4.02,104.72
7.332999999999999,941,0,False,0,True,0,False,0,False,45,0,89.0,100.0,13.78,27.37,58.85,1093.72,33.47,4.96,161.94,21.5,26.22,1319.18,37.92,16.39,22.95,567.56,7.95,0.58,234.99,0.73,198.58,1987.86,0.96,3.44,2.3,190.94,0.31,3.42,1.06,9.18,17.86,6792.82,0.48,83.97,205.25
2.0003,211,0,False,0,False,0,False,0,False,45,159,43.0,4.0,2.81,87.77,9.42,946.35,94.01,58.79,22.69,1.29,248.83,487.31,6.78,3.15,15.76,96.39,1.76,0.21,88.25,0.22,101.52,217.94,0.15,0.75,0.26,23.81,0.24,0.42,0.07,2.82,1.95,3147.88,1.7,23.86,9.99
5.0855,507,0,False,1,True,0,True,0,True,45,0,90.0,99.0,47.17,44.21,8.62,479.22,23.3,5.17,10.23,6.89,142.94,353.64,55.94,18.43,75.51,568.24,5.03,0.37,101.42,0.28,69.37,1491.14,0.37,9.76,0.35,88.36,2.22,1.82,1.65,4.07,3.11,2124.67,0.0,34.97,34.46
3.0948,244,0,False,1,True,0,True,0,False,45,221,62.0,9.0,5.55,67.1,27.35,234.07,9.57,1.33,8.78,4.34,2.55,138.15,1.78,1.59,2.83,58.67,1.1,0.11,25.14,0.05,36.68,324.67,0.04,0.47,0.28,28.23,0.0,0.32,0.3,2.57,1.62,2335.42,0.0,9.45,95.22
3.8489,808,0,False,0,False,0,False,0,False,26,0,78.0,50.0,12.97,24.18,62.85,673.11,19.12,4.84,111.8,8.33,16.53,1398.69,23.06,4.61,9.14,398.28,8.62,0.27,420.31,0.08,177.73,2707.41,0.45,1.94,1.38,117.37,0.45,1.56,0.32,1.41,22.35,997.19,0.0,7.7,78.08
1.9976,193,0,False,1,False,0,False,0,False,8,0,15.0,2.0,1.8,93.88,4.32,487.36,52.31,10.09,5.41,0.9,18.23,1103.6,2.26,0.91,2.3,22.15,1.37,0.06,59.91,0.02,10.23,120.5,0.12,0.23,0.19,17.85,0.0,0.0,0.09,7.56,2.19,431.73,0.0,27.37,7.65
19.0752,2648,0,False,1,True,0,False,0,False,45,1,85.0,100.0,45.14,31.82,23.04,1737.43,61.63,9.49,100.41,24.96,2.91,1640.68,196.71,7.35,10.0,2700.71,33.72,1.0,926.33,2.31,434.37,4713.46,5.27,16.8,1.08,771.9,0.0,0.72,0.62,3.4,22.35,1525.12,0.0,132.78,13.63
1.0759,286,0,False,0,True,0,False,0,False,45,4,67.0,19.0,9.43,32.44,58.13,453.01,16.45,2.38,66.33,8.24,4.8,1491.51,10.76,5.54,25.23,145.08,3.99,0.43,76.69,0.71,179.83,393.53,0.2,1.01,0.7,38.62,0.0,0.72,0.29,2.42,5.61,64.67,0.0,11.56,14.17
3.7032,497,0,False,0,True,0,False,0,False,45,0,89.0,92.0,9.24,54.57,36.19,242.49,15.35,2.15,22.91,14.56,2.92,314.57,5.85,3.7,2.95,142.0,2.84,0.18,64.54,0.29,106.37,1073.76,0.29,0.96,0.56,55.83,0.07,0.71,0.58,5.13,5.2,5490.57,0.0,100.23,183.66
2.6441000000000003,140,0,False,0,True,0,False,0,False,45,0,40.0,9.0,17.85,64.8,17.35,379.83,27.3,5.52,16.44,1.11,113.12,477.11,16.92,9.38,33.29,174.24,3.5,0.34,123.71,0.23,44.68,304.69,0.19,1.53,0.24,34.9,0.59,0.83,0.16,3.75,1.11,513.05,0.43,14.16,2.11
0.153,15,0,False,0,False,0,False,0,False,25,17,3.0,0.0,3.0,87.37,9.63,59.43,5.88,3.68,1.46,0.1,15.55,212.16,0.45,0.2,0.99,0.0,0.0,0.0,0.0,0.0,7.33,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.18,0.0,237.55,0.0,3.49,1.17
5.1007,478,0,False,1,True,0,True,0,True,45,0,90.0,99.0,59.16,37.11,3.73,592.97,23.67,5.81,5.36,3.25,236.48,542.83,84.91,23.2,105.26,860.8,2.76,0.77,49.95,1.67,35.85,1573.21,0.27,6.95,0.12,110.63,1.93,3.03,3.0,3.24,2.31,2426.02,1.46,6.78,95.14
2.3848,308,0,False,1,False,0,False,0,False,45,13,88.0,37.0,13.73,17.84,68.43,260.24,5.29,0.82,45.64,4.82,2.47,224.62,9.15,2.91,4.65,193.58,2.8,0.21,102.35,0.21,53.68,1132.87,0.29,1.01,0.58,68.74,0.26,0.84,0.78,0.73,5.69,252.86,0.0,31.93,51.67
4.9123,585,0,False,1,True,0,False,0,False,120,0,87.0,100.0,8.8,68.67,22.53,523.45,38.23,5.45,28.22,6.71,12.0,344.2,11.02,5.37,10.52,215.51,5.44,0.39,297.02,0.31,435.79,1575.75,0.44,3.03,1.74,98.11,0.12,2.92,0.6,7.77,12.79,9349.85,0.0,834.0,149.98
1.1961,173,0,False,0,True,0,False,0,False,40,12,86.0,32.0,9.74,61.92,28.34,273.77,19.63,2.77,20.22,3.42,2.0,172.16,6.95,3.05,10.52,117.37,3.09,0.21,177.34,0.23,39.42,513.95,0.25,0.69,0.36,51.41,0.0,0.51,0.26,4.95,4.86,3432.02,0.0,304.24,83.13
3.2932,233,0,False,0,True,0,False,0,False,45,5,80.0,32.0,9.59,62.55,27.86,576.43,40.39,8.62,40.47,7.24,22.33,403.53,13.93,8.07,29.53,143.19,3.67,0.33,129.65,0.33,96.52,415.38,0.21,1.27,0.55,48.67,0.23,0.47,0.19,2.7,2.92,726.9,0.0,49.74,11.54
2.1790000000000003,224,0,False,0,True,0,False,0,False,45,0,77.0,44.0,11.66,31.86,56.48,425.57,14.88,2.21,59.35,6.51,1.08,817.52,12.25,5.44,31.37,188.75,3.79,0.34,98.89,0.5,220.85,402.32,0.46,1.63,1.09,55.17,0.13,0.59,0.15,2.93,4.09,0.0,0.4,130.53,6.74
4.697,449,0,False,1,False,0,False,0,False,45,4,71.0,24.0,12.58,80.87,6.55,738.23,67.23,18.89,12.26,5.98,76.35,983.62,23.52,1.82,15.36,478.73,1.95,0.33,774.24,0.1,85.91,810.81,0.22,3.58,0.32,62.7,1.09,0.92,0.31,7.13,5.61,843.23,0.45,52.17,45.37
1.0559,50,0,False,1,False,0,False,0,False,45,3,16.0,1.0,3.57,92.71,3.72,210.25,22.29,5.03,2.01,0.46,14.98,43.01,1.93,1.15,3.18,19.47,0.49,0.03,19.57,0.0,0.0,60.81,0.03,0.16,0.03,5.06,0.0,0.0,0.04,2.77,0.53,126.34,0.0,11.19,9.85
1.2208,59,0,False,1,True,0,True,0,True,45,0,48.0,12.0,1.59,93.81,4.6,197.04,21.24,2.95,2.34,0.56,0.6,702.2,0.81,0.38,0.0,12.16,1.17,0.03,26.58,0.02,26.94,105.91,0.04,0.2,0.03,10.3,0.0,0.0,0.02,3.19,0.77,1271.02,0.0,259.63,27.22
1.6907,147,0,False,1,False,0,False,0,False,20,0,68.0,28.0,13.05,68.34,18.61,113.29,8.95,1.88,5.48,2.15,3.4,471.72,3.85,0.57,2.18,74.15,1.19,0.11,119.14,0.05,23.7,411.47,0.12,0.55,0.25,31.25,0.0,0.22,0.14,1.91,2.63,1989.7,0.0,96.58,19.91
3.3027999999999995,476,0,False,0,True,0,False,0,False,60,13,95.0,81.0,10.97,51.47,37.56,516.46,30.87,4.6,50.68,13.07,6.4,585.73,14.8,5.88,15.84,256.74,4.05,0.41,180.9,0.56,261.42,1304.67,0.61,1.82,1.02,80.64,0.19,2.88,0.84,4.33,10.05,0.0,0.0,78.38,191.53
0.5661999999999999,121,0,False,0,False,0,False,0,False,280,0,16.0,2.0,5.18,64.37,30.45,334.26,24.23,12.83,25.78,2.86,52.53,148.2,4.39,2.24,10.89,59.42,1.72,0.17,30.68,0.24,59.04,176.1,0.09,0.39,0.28,15.19,0.06,0.23,0.1,1.5,1.81,674.48,0.35,6.78,5.07
0.2007,21,0,False,1,True,0,False,0,True,36,6,15.0,1.0,3.98,86.79,9.23,36.07,3.58,0.5,0.86,0.29,0.6,214.03,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,40.8,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.52,0.25,0.0,0.0,10.2,3.46
1.7763999999999998,143,0,False,0,False,0,False,0,False,25,0,38.0,8.0,16.29,52.31,31.4,407.33,24.11,7.42,32.57,5.33,22.8,1091.22,16.89,1.24,9.16,235.48,3.07,0.16,393.43,0.03,9.04,209.52,0.09,1.1,0.18,26.27,0.38,0.3,0.15,3.48,2.52,979.21,0.0,18.19,3.19
2.9973,416,0,False,1,True,0,True,1,True,45,2,81.0,41.0,24.24,69.92,5.84,626.35,48.02,11.75,9.03,5.01,998.64,1158.47,37.46,2.37,94.62,600.1,6.35,1.32,197.56,0.26,175.44,655.72,0.27,4.08,0.31,64.44,2.43,4.52,0.72,5.24,3.06,4724.65,5.34,182.72,106.32
2.3711,225,0,False,0,False,0,False,0,False,45,18,57.0,10.0,14.78,66.9,18.32,702.78,53.03,27.3,32.66,4.66,129.75,1767.2,26.36,4.15,32.98,406.04,3.11,0.42,561.41,0.31,59.02,228.68,0.17,3.3,0.77,53.14,2.01,0.67,0.14,3.17,4.3,1471.59,0.76,14.89,1.57
0.7071,78,0,False,0,True,0,False,0,False,15,0,38.0,7.0,15.63,44.02,40.35,144.9,7.14,1.4,14.73,1.57,75.08,252.86,5.71,1.37,12.82,69.75,1.35,0.18,29.78,0.12,48.86,116.2,0.06,0.49,0.17,12.49,0.23,0.41,0.08,1.16,1.07,414.75,0.44,19.75,10.46
0.935,151,0,False,1,True,0,False,0,True,45,5,96.0,86.0,6.13,77.17,16.7,245.15,21.99,3.14,10.71,0.81,2.4,285.57,3.93,1.48,2.13,83.84,3.83,0.31,220.29,0.22,31.0,473.13,0.21,0.55,0.41,43.1,0.0,0.13,0.3,6.94,3.98,11524.44,0.0,895.35,39.98
1.7374,195,0,False,0,True,0,False,0,False,6,1,85.0,39.0,20.88,34.36,44.76,407.35,15.53,2.18,45.51,2.45,144.68,652.96,21.23,2.16,64.38,256.5,3.06,0.11,164.52,0.1,23.89,409.4,0.41,2.11,0.75,68.63,0.44,0.47,0.2,3.8,3.66,1723.94,0.0,154.21,44.92
1.8833,276,0,False,0,False,0,False,0,False,45,0,59.0,20.0,13.44,38.92,47.64,556.71,24.36,12.13,67.1,5.73,48.25,460.29,18.93,3.1,53.47,318.18,2.38,0.22,161.16,0.22,85.35,669.51,0.44,1.97,0.99,75.32,0.15,1.1,0.46,1.05,5.63,1086.41,0.38,100.59,53.27
1.866,274,0,False,1,True,0,False,0,True,45,0,79.0,49.0,6.94,76.56,16.5,309.83,27.98,3.95,13.58,4.72,3.6,265.49,5.7,1.97,3.77,110.62,1.54,0.15,67.91,0.12,126.3,705.55,0.11,0.73,0.37,37.5,0.0,1.51,0.44,4.13,5.05,177.56,0.0,81.64,118.66
1.3824,210,0,False,1,True,0,False,0,True,83,0,89.0,84.0,8.68,53.83,37.49,129.76,7.79,1.07,12.21,8.34,2.4,12.37,2.83,2.51,1.76,59.7,1.04,0.18,21.2,0.11,91.67,437.12,0.04,0.57,0.24,25.64,0.0,0.66,0.59,4.16,4.18,6215.43,0.0,13.95,253.65
0.821,91,0,False,1,True,0,False,0,True,8,0,52.0,11.0,11.86,74.86,13.28,102.57,8.71,1.28,3.48,2.01,7.2,16.14,3.11,2.03,4.46,38.63,0.66,0.05,28.29,0.03,12.35,198.76,0.07,0.33,0.11,13.02,0.07,0.15,0.08,1.52,0.92,498.84,0.0,12.63,8.57
0.2255,34,0,False,0,False,0,False,0,False,45,0,8.0,1.0,22.09,72.97,4.94,71.22,5.69,1.75,0.87,0.16,110.75,64.86,3.88,0.0,9.01,58.17,0.55,0.13,18.38,0.0,13.85,43.64,0.02,0.38,0.0,0.0,0.26,0.45,0.05,0.41,0.0,200.83,0.58,7.98,0.0
0.5914,43,1,False,1,True,0,False,0,False,45,25,65.0,12.0,4.94,92.3,2.76,151.25,15.39,2.35,1.03,0.25,46.63,20.6,1.85,0.0,4.06,28.11,0.66,0.07,18.7,0.02,15.03,59.14,0.0,0.22,0.05,5.47,0.14,0.21,0.04,2.21,0.25,618.11,0.28,108.03,8.3
4.4201,597,0,False,1,True,0,False,0,False,45,0,66.0,28.0,18.66,42.99,38.35,281.65,12.69,2.55,25.46,3.75,100.05,637.78,12.39,5.38,8.81,261.73,3.65,0.25,122.66,0.16,114.83,874.99,0.48,1.38,0.53,98.55,0.44,0.92,0.34,1.79,8.92,551.09,0.49,89.86,53.26
1.4154,216,0,False,1,True,0,True,0,False,45,3,78.0,31.0,9.58,73.43,16.99,164.55,14.02,2.35,7.3,4.95,7.2,218.61,4.12,2.66,4.66,64.58,1.13,0.07,42.18,0.08,36.54,462.23,0.13,0.54,0.22,25.04,0.07,0.25,0.15,2.43,2.25,1660.51,0.0,86.59,25.5
0.8351000000000001,61,0,False,0,True,0,False,0,False,45,0,20.0,2.0,3.06,85.25,11.69,151.58,14.3,2.01,4.41,1.12,2.4,344.23,1.15,0.73,2.34,12.04,1.01,0.02,11.24,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.05,0.0,381.47,0.0,8.82,22.88
1.7999,248,0,False,1,True,0,False,0,True,8,2,90.0,46.0,6.11,63.58,30.31,257.5,18.85,2.63,20.22,10.65,4.8,44.0,4.07,2.49,4.18,85.84,1.38,0.13,73.72,0.11,76.72,631.22,0.13,0.58,0.31,33.29,0.0,0.62,0.33,3.87,6.0,2501.1,0.0,14.72,121.46
2.6047,277,0,False,1,False,0,False,0,False,30,0,69.0,30.0,10.39,66.89,22.72,194.44,15.06,2.37,11.51,7.16,8.73,225.84,5.26,3.09,5.59,96.32,1.23,0.11,69.28,0.11,37.02,629.04,0.18,0.72,0.36,33.78,0.14,0.37,0.26,3.26,2.84,1999.45,0.2,32.4,32.75
3.7228,280,0,False,0,True,0,False,0,False,45,0,74.0,39.0,48.74,25.73,25.53,413.48,10.54,2.81,23.53,12.49,123.87,299.59,44.92,12.62,56.42,466.06,1.74,0.44,43.62,0.88,6.34,974.32,0.23,3.73,0.2,67.65,1.01,1.62,1.53,0.75,2.02,190.39,0.76,15.52,7.59
0.6520999999999999,111,1,True,1,True,0,False,0,True,16,0,85.0,43.0,3.58,75.0,21.42,112.71,9.47,1.29,6.09,4.14,0.0,198.56,1.02,0.98,0.0,26.66,0.54,0.08,0.0,0.05,46.43,214.04,0.0,0.26,0.12,12.36,0.0,0.32,0.29,2.88,2.1,3144.95,0.0,22.81,126.77
1.6361,263,0,False,0,True,0,False,0,False,45,2,66.0,21.0,17.67,30.91,51.42,560.27,19.16,3.07,71.74,5.03,31.74,618.73,24.65,8.24,100.09,283.14,2.66,0.14,48.34,0.14,36.04,516.31,0.36,1.93,0.95,74.58,1.49,0.63,0.38,1.5,4.06,790.36,0.73,68.3,15.67
0.8208,261,0,False,1,True,0,False,0,True,30,0,91.0,90.0,10.67,65.03,24.3,243.23,19.04,2.61,16.01,4.2,0.36,276.22,7.03,1.71,7.2,157.0,1.8,0.27,108.18,0.17,145.74,735.16,0.12,0.96,0.48,49.1,0.0,1.32,0.41,4.39,5.94,1415.81,0.0,242.14,207.56
3.6652,268,0,False,1,True,0,False,0,True,45,0,48.0,13.0,2.02,87.36,10.62,731.78,72.94,10.2,19.94,9.09,4.8,2593.18,3.8,1.57,3.64,58.06,2.63,0.08,90.54,0.07,49.68,365.43,0.18,0.55,0.72,35.1,0.0,0.34,0.14,10.73,3.64,1311.3,0.0,298.89,55.74
1.0331,237,0,False,1,True,0,False,0,True,45,2,95.0,100.0,11.33,45.35,43.32,102.95,5.64,0.81,12.13,4.74,0.85,256.75,3.17,1.9,1.9,73.5,1.63,0.18,49.01,0.15,205.85,592.59,0.14,0.69,0.31,35.09,0.0,0.88,0.39,2.05,6.11,11470.35,0.0,117.77,104.98
2.5624,486,0,False,1,False,0,False,0,False,45,0,87.0,76.0,7.1,72.85,20.05,597.94,51.89,7.23,32.14,9.26,2.76,636.54,11.37,3.0,9.93,241.87,3.86,0.43,193.97,0.28,213.52,1199.37,0.28,1.56,0.83,86.3,0.0,1.98,0.77,9.92,11.09,2240.03,0.0,345.4,338.93
3.3338,191,0,False,1,False,0,False,0,False,25,0,38.0,8.0,44.2,51.73,4.07,267.55,14.77,2.99,2.61,0.63,340.81,1416.51,28.39,1.44,64.76,276.44,3.36,0.05,220.49,0.03,24.01,188.58,0.39,2.76,0.59,51.53,1.01,0.25,0.06,3.38,0.87,273.92,0.0,40.32,9.99
1.9781,373,0,False,0,False,0,False,0,False,45,6,92.0,60.0,14.34,18.55,67.11,608.31,12.75,1.96,103.82,12.92,8.67,781.15,22.18,6.74,79.61,323.43,5.2,0.24,146.46,0.28,52.61,1015.91,0.83,2.56,1.61,116.75,0.09,1.2,0.58,4.77,8.72,799.73,0.0,30.43,22.68
1.5375,196,0,False,0,True,0,False,0,False,35,0,56.0,18.0,17.12,29.95,52.93,284.01,9.39,2.15,37.33,4.13,123.47,634.44,12.07,4.64,29.85,164.0,3.15,0.42,89.32,0.36,173.15,327.07,0.18,1.3,0.4,34.82,0.33,1.05,0.33,2.27,3.68,2628.71,0.64,24.61,104.06
0.3544,38,0,False,1,False,0,False,0,False,30,0,6.0,0.0,9.35,81.08,9.57,49.25,4.49,1.42,1.19,0.87,6.92,92.41,1.16,0.0,1.17,29.0,0.19,0.06,34.72,0.02,5.71,55.22,0.02,0.23,0.03,0.0,0.11,0.11,0.05,0.32,0.0,118.59,0.0,6.84,4.21
0.5881000000000001,114,0,False,0,False,0,False,0,False,45,0,36.0,7.0,15.35,19.05,65.6,368.35,7.7,3.01,59.67,3.61,6.85,466.25,13.96,1.76,50.81,215.72,1.31,0.09,133.02,0.08,18.6,207.05,0.23,1.38,0.73,46.48,0.16,0.41,0.13,0.53,2.7,180.1,0.0,12.96,1.12
6.7578,445,0,False,1,False,0,False,0,False,35,20,88.0,36.0,7.94,79.9,12.16,475.56,43.81,6.1,15.01,1.28,9.99,702.78,9.79,3.1,6.33,217.51,3.24,0.27,247.12,0.16,210.41,936.49,0.38,1.36,0.81,72.77,0.14,1.32,0.33,7.94,4.45,7115.41,0.0,246.27,78.09
4.2974,459,0,False,0,False,0,False,0,False,45,1,66.0,25.0,22.83,46.47,30.7,1075.04,55.14,20.64,81.95,21.73,139.41,2332.48,60.95,19.45,71.41,554.94,6.82,0.54,270.05,0.39,83.67,1074.02,0.3,9.21,0.14,77.08,3.09,1.4,1.23,4.26,5.43,1970.08,0.37,28.11,2.64
1.0086,242,0,False,0,True,0,False,0,False,30,0,52.0,15.0,11.14,46.72,42.14,319.55,16.9,2.75,34.3,8.58,55.13,390.04,9.07,3.68,15.95,135.98,3.0,0.29,87.2,0.43,65.69,445.96,0.25,0.82,0.48,33.9,0.25,1.28,0.21,2.8,3.34,1196.79,0.28,27.21,40.38
1.0216,108,0,False,1,True,0,False,0,True,45,20,28.0,2.0,3.21,94.61,2.18,533.4,57.04,8.41,2.96,0.84,110.14,105.03,4.36,0.21,11.11,71.88,1.09,0.15,28.21,0.03,17.45,98.33,0.04,0.45,0.07,7.12,0.29,0.5,0.1,8.1,0.0,165.71,0.66,33.16,7.17
0.4553,23,0,False,1,True,0,False,0,True,7,0,31.0,4.0,3.37,95.42,1.21,132.3,14.26,2.0,0.4,0.02,3.0,200.75,1.13,0.74,1.94,11.37,0.38,0.0,11.84,0.0,0.0,36.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,2.05,0.0,171.05,0.0,41.25,2.98
1.4882,90,0,False,1,True,0,False,0,True,31,1,52.0,13.0,1.8,96.26,1.94,503.16,54.75,7.63,2.48,0.22,4.8,156.91,2.31,1.45,3.81,28.43,1.34,0.05,32.35,0.02,8.37,111.82,0.07,0.32,0.11,10.93,0.0,0.1,0.09,8.63,1.02,939.75,0.0,101.27,6.52
2.2323,195,0,False,0,True,0,False,0,False,45,0,75.0,40.0,8.86,45.27,45.87,758.72,38.31,5.43,87.35,3.46,3.6,628.08,16.88,3.06,74.3,233.98,2.78,0.13,56.74,0.12,39.17,344.53,0.44,1.88,1.09,74.76,0.0,0.58,0.2,5.68,4.86,740.38,0.0,150.45,15.99
1.225,113,0,False,0,False,0,False,0,False,25,0,10.0,1.0,6.32,85.87,7.81,247.05,23.99,12.8,4.91,2.65,59.73,247.85,3.97,1.81,5.88,87.25,0.69,0.12,79.35,0.05,16.59,197.32,0.06,0.47,0.08,14.52,0.22,0.3,0.08,1.09,1.05,632.53,0.38,3.94,1.86
1.0643,135,0,False,1,False,0,False,0,False,45,0,76.0,39.0,10.08,53.9,36.02,100.8,6.44,1.23,9.68,4.49,2.76,35.15,2.71,0.78,0.96,47.3,0.87,0.07,98.81,0.06,47.42,322.86,0.08,0.31,0.3,20.59,0.0,0.51,0.26,1.12,2.28,559.78,0.0,16.77,71.88
0.9647,131,0,False,0,True,0,False,0,False,45,11,68.0,16.0,19.75,26.75,53.5,256.86,7.56,2.07,34.02,4.03,187.7,452.72,12.56,2.8,36.08,178.93,2.79,0.48,84.26,0.32,99.96,236.38,0.15,1.37,0.65,35.9,0.57,1.04,0.16,0.76,4.3,437.2,1.1,34.64,3.92
1.5461,197,0,False,1,False,0,False,0,False,45,0,35.0,6.0,8.1,64.53,27.37,237.71,18.75,12.93,17.89,2.36,31.68,513.6,5.29,1.7,1.41,131.34,2.11,0.11,78.6,0.11,95.39,559.28,0.33,0.73,0.39,82.82,0.0,0.56,0.2,0.92,8.19,540.27,0.21,52.79,39.89
2.3399,171,1,True,1,True,0,False,0,True,45,0,74.0,39.0,4.63,77.46,17.91,200.36,18.03,2.56,9.38,1.01,0.0,323.59,2.43,0.55,1.55,63.87,2.43,0.06,93.2,0.03,93.52,481.03,0.51,0.99,0.43,29.71,0.0,0.42,0.13,6.41,3.01,106.59,0.0,392.9,11.56
4.4735000000000005,796,0,False,0,True,0,False,0,False,53,1,92.0,92.0,9.23,44.63,46.14,1296.94,65.32,9.19,151.94,17.94,7.2,1292.57,30.41,7.86,113.91,480.21,4.98,0.27,151.01,0.37,110.16,1671.19,0.94,3.65,2.31,161.85,0.07,1.32,0.8,12.87,13.75,4595.08,0.0,76.35,70.74
3.6427,379,0,False,1,True,0,False,0,False,45,9,97.0,96.0,9.59,67.76,22.65,611.24,49.2,6.24,36.99,14.34,6.8,444.4,15.67,3.97,11.04,301.27,5.4,0.32,165.1,0.48,194.89,1258.97,0.62,2.17,1.8,110.32,0.07,1.1,0.79,7.33,12.52,2071.66,0.0,503.2,233.16
